Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
selectOptionByLabel,Chrome 68.0.3440.106,,2018-09-17 14:12:22,2018-09-17 14:12:23,0.769s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:12:23,2018-09-17 14:12:24,1.004s,PASSED
comment,Chrome 68.0.3440.106,,2018-09-17 14:12:24,2018-09-17 14:12:24,0.002s,PASSED
selectOptionByLabel,Chrome 68.0.3440.106,,2018-09-17 14:12:24,2018-09-17 14:12:24,0.307s,PASSED
sendKeys,Chrome 68.0.3440.106,,2018-09-17 14:12:24,2018-09-17 14:12:24,0.075s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:12:24,2018-09-17 14:12:25,1.004s,PASSED
sendKeys,Chrome 68.0.3440.106,,2018-09-17 14:12:25,2018-09-17 14:12:25,0.087s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:12:25,2018-09-17 14:12:26,1.002s,PASSED
sendKeys,Chrome 68.0.3440.106,,2018-09-17 14:12:26,2018-09-17 14:12:27,0.086s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:12:27,2018-09-17 14:12:28,1.003s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-09-17 14:12:28,2018-09-17 14:12:28,0.296s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:12:28,2018-09-17 14:12:28,0.126s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-09-17 14:12:28,2018-09-17 14:12:28,0.302s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:12:28,2018-09-17 14:12:31,3.003s,PASSED
Statement - dd(),Chrome 68.0.3440.106,,2018-09-17 14:12:31,2018-09-17 14:12:31,0.002s,NOT_RUN
,,,,,,
Test Cases/Project - TxQDemoTests/TC001_A)PrintBatchHeader(Variable),Chrome 68.0.3440.106,Print batch headers on TxQ Demo website using data driven approch .,2018-09-17 14:12:31,2018-09-17 14:12:46,14.855s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 14:12:31,2018-09-17 14:12:35,4.044s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-17 14:12:35,2018-09-17 14:12:37,1.150s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:12:37,2018-09-17 14:12:37,0.117s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:12:37,2018-09-17 14:12:37,0.283s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:12:37,2018-09-17 14:12:37,0.136s,PASSED
comment,Chrome 68.0.3440.106,,2018-09-17 14:12:37,2018-09-17 14:12:37,0.002s,PASSED
selectOptionByLabel,Chrome 68.0.3440.106,,2018-09-17 14:12:37,2018-09-17 14:12:38,0.777s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:12:38,2018-09-17 14:12:39,1.004s,PASSED
comment,Chrome 68.0.3440.106,,2018-09-17 14:12:39,2018-09-17 14:12:39,0.000s,PASSED
selectOptionByLabel,Chrome 68.0.3440.106,,2018-09-17 14:12:39,2018-09-17 14:12:39,0.304s,PASSED
sendKeys,Chrome 68.0.3440.106,,2018-09-17 14:12:39,2018-09-17 14:12:39,0.073s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:12:39,2018-09-17 14:12:40,1.003s,PASSED
sendKeys,Chrome 68.0.3440.106,,2018-09-17 14:12:40,2018-09-17 14:12:40,0.073s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:12:40,2018-09-17 14:12:41,1.003s,PASSED
sendKeys,Chrome 68.0.3440.106,,2018-09-17 14:12:41,2018-09-17 14:12:41,0.099s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:12:41,2018-09-17 14:12:42,1.002s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-09-17 14:12:42,2018-09-17 14:12:43,0.299s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:12:43,2018-09-17 14:12:43,0.108s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-09-17 14:12:43,2018-09-17 14:12:43,0.317s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:12:43,2018-09-17 14:12:46,3.003s,PASSED
Statement - dd(),Chrome 68.0.3440.106,,2018-09-17 14:12:46,2018-09-17 14:12:46,0.002s,NOT_RUN
,,,,,,
Test Cases/Project - TxQDemoTests/TC001_A)PrintBatchHeader(Variable),Chrome 68.0.3440.106,Print batch headers on TxQ Demo website using data driven approch .,2018-09-17 14:12:46,2018-09-17 14:13:01,14.862s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 14:12:46,2018-09-17 14:12:50,3.973s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-17 14:12:50,2018-09-17 14:12:51,1.133s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:12:51,2018-09-17 14:12:51,0.123s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:12:51,2018-09-17 14:12:52,0.257s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:12:52,2018-09-17 14:12:52,0.172s,PASSED
comment,Chrome 68.0.3440.106,,2018-09-17 14:12:52,2018-09-17 14:12:52,0.000s,PASSED
selectOptionByLabel,Chrome 68.0.3440.106,,2018-09-17 14:12:52,2018-09-17 14:12:53,0.816s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:12:53,2018-09-17 14:12:54,1.004s,PASSED
comment,Chrome 68.0.3440.106,,2018-09-17 14:12:54,2018-09-17 14:12:54,0.003s,PASSED
selectOptionByLabel,Chrome 68.0.3440.106,,2018-09-17 14:12:54,2018-09-17 14:12:54,0.322s,PASSED
sendKeys,Chrome 68.0.3440.106,,2018-09-17 14:12:54,2018-09-17 14:12:54,0.083s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:12:54,2018-09-17 14:12:55,1.002s,PASSED
sendKeys,Chrome 68.0.3440.106,,2018-09-17 14:12:55,2018-09-17 14:12:55,0.083s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:12:55,2018-09-17 14:12:56,1.004s,PASSED
sendKeys,Chrome 68.0.3440.106,,2018-09-17 14:12:56,2018-09-17 14:12:56,0.088s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:12:56,2018-09-17 14:12:57,1.004s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-09-17 14:12:57,2018-09-17 14:12:58,0.297s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:12:58,2018-09-17 14:12:58,0.113s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-09-17 14:12:58,2018-09-17 14:12:58,0.353s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:12:58,2018-09-17 14:13:01,3.002s,PASSED
Statement - dd(),Chrome 68.0.3440.106,,2018-09-17 14:13:01,2018-09-17 14:13:01,0.001s,NOT_RUN
,,,,,,
Test Cases/Project - TxQDemoTests/TC001_A)PrintBatchHeader(Variable),Chrome 68.0.3440.106,Print batch headers on TxQ Demo website using data driven approch .,2018-09-17 14:13:01,2018-09-17 14:13:16,14.771s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 14:13:01,2018-09-17 14:13:05,3.856s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-17 14:13:05,2018-09-17 14:13:06,1.131s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:13:06,2018-09-17 14:13:06,0.125s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:13:06,2018-09-17 14:13:06,0.253s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:13:06,2018-09-17 14:13:07,0.160s,PASSED
comment,Chrome 68.0.3440.106,,2018-09-17 14:13:07,2018-09-17 14:13:07,0.001s,PASSED
selectOptionByLabel,Chrome 68.0.3440.106,,2018-09-17 14:13:07,2018-09-17 14:13:07,0.816s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:13:07,2018-09-17 14:13:08,1.002s,PASSED
comment,Chrome 68.0.3440.106,,2018-09-17 14:13:08,2018-09-17 14:13:08,0.000s,PASSED
selectOptionByLabel,Chrome 68.0.3440.106,,2018-09-17 14:13:08,2018-09-17 14:13:09,0.240s,PASSED
sendKeys,Chrome 68.0.3440.106,,2018-09-17 14:13:09,2018-09-17 14:13:09,0.089s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:13:09,2018-09-17 14:13:10,1.002s,PASSED
sendKeys,Chrome 68.0.3440.106,,2018-09-17 14:13:10,2018-09-17 14:13:10,0.087s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:13:10,2018-09-17 14:13:11,1.003s,PASSED
sendKeys,Chrome 68.0.3440.106,,2018-09-17 14:13:11,2018-09-17 14:13:11,0.079s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:13:11,2018-09-17 14:13:12,1.003s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-09-17 14:13:12,2018-09-17 14:13:12,0.303s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:13:12,2018-09-17 14:13:12,0.131s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-09-17 14:13:12,2018-09-17 14:13:13,0.447s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:13:13,2018-09-17 14:13:16,3.003s,PASSED
Statement - dd(),Chrome 68.0.3440.106,,2018-09-17 14:13:16,2018-09-17 14:13:16,0.000s,NOT_RUN
,,,,,,
Test Cases/Project - TxQDemoTests/TC001_A)PrintBatchHeader(Variable),Chrome 68.0.3440.106,Print batch headers on TxQ Demo website using data driven approch .,2018-09-17 14:13:16,2018-09-17 14:13:31,14.950s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 14:13:16,2018-09-17 14:13:20,4.233s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-17 14:13:20,2018-09-17 14:13:21,1.152s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:13:21,2018-09-17 14:13:21,0.117s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:13:21,2018-09-17 14:13:22,0.265s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:13:22,2018-09-17 14:13:22,0.175s,PASSED
comment,Chrome 68.0.3440.106,,2018-09-17 14:13:22,2018-09-17 14:13:22,0.001s,PASSED
selectOptionByLabel,Chrome 68.0.3440.106,,2018-09-17 14:13:22,2018-09-17 14:13:23,0.768s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:13:23,2018-09-17 14:13:24,1.005s,PASSED
comment,Chrome 68.0.3440.106,,2018-09-17 14:13:24,2018-09-17 14:13:24,0.002s,PASSED
selectOptionByLabel,Chrome 68.0.3440.106,,2018-09-17 14:13:24,2018-09-17 14:13:24,0.254s,PASSED
sendKeys,Chrome 68.0.3440.106,,2018-09-17 14:13:24,2018-09-17 14:13:24,0.086s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:13:24,2018-09-17 14:13:25,1.003s,PASSED
sendKeys,Chrome 68.0.3440.106,,2018-09-17 14:13:25,2018-09-17 14:13:25,0.081s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:13:25,2018-09-17 14:13:26,1.003s,PASSED
sendKeys,Chrome 68.0.3440.106,,2018-09-17 14:13:26,2018-09-17 14:13:26,0.085s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:13:26,2018-09-17 14:13:27,1.001s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-09-17 14:13:27,2018-09-17 14:13:27,0.298s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:13:27,2018-09-17 14:13:27,0.105s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-09-17 14:13:27,2018-09-17 14:13:28,0.291s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:13:28,2018-09-17 14:13:31,3.001s,PASSED
Statement - dd(),Chrome 68.0.3440.106,,2018-09-17 14:13:31,2018-09-17 14:13:31,0.001s,NOT_RUN
,,,,,,
Test Cases/Project - TxQDemoTests/TC001_A)PrintBatchHeader(Variable),Chrome 68.0.3440.106,Print batch headers on TxQ Demo website using data driven approch .,2018-09-17 14:13:31,2018-09-17 14:13:45,14.668s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 14:13:31,2018-09-17 14:13:35,4.005s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-17 14:13:35,2018-09-17 14:13:36,1.149s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:13:36,2018-09-17 14:13:36,0.097s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:13:36,2018-09-17 14:13:36,0.217s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:13:36,2018-09-17 14:13:36,0.164s,PASSED
comment,Chrome 68.0.3440.106,,2018-09-17 14:13:36,2018-09-17 14:13:36,0.000s,PASSED
selectOptionByLabel,Chrome 68.0.3440.106,,2018-09-17 14:13:36,2018-09-17 14:13:37,0.733s,PASSED
